序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,区间最大最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值,--,开始日期,截止日期,备注
32,'519002,华安安信消费混合A (519002),2022-07-25,4.61,-11.7%,21.12%,,,-55.39%,2.264 -> 1.01,2015-06-12 -> 2015-09-02,,2021-12-27,5.223,,2013-06-24,2022-07-25,有历史分红,
33,'166301,华商新趋势优选灵活配置混合 (166301),2022-07-25,8.266,-16.61%,39.53%,,,-42.02%,2.877 -> 1.668,2015-06-12 -> 2016-01-28,,2021-09-13,9.912,,2012-09-06,2022-07-25,无历史分红,
34,'000991,工银战略转型股票A (000991),2022-07-25,3.824,-5.97%,11.35%,,,-52.59%,1.546 -> 0.733,2015-06-12 -> 2015-07-08,,2022-01-19,4.067,,2015-02-16,2022-07-25,无历史分红,
35,'002256,金信行业优选混合发起式 (002256),2022-07-25,2.085,-26.46%,54.24%,,,-48.78%,2.835 -> 1.452,2021-11-22 -> 2022-04-26,,2021-11-22,2.835,,2016-04-01,2022-07-25,无历史分红,
36,'010364,鹏华空天军工指数(LOF)C (010364),2022-07-25,1.2325,-19.22%,44.75%,,,-42.95%,1.5257 -> 0.8704,2021-11-30 -> 2022-04-26,,2021-11-30,1.5257,,2020-10-27,2022-07-25,无历史分红,
37,'001105,信澳转型创新股票A (001105),2022-07-25,1.157,-19.43%,31.05%,,,-62.57%,1.368 -> 0.512,2015-05-27 -> 2016-01-28,,2021-02-10,1.436,,2015-04-15,2022-07-25,无历史分红,
38,'513050,易方达中概互联50ETF (513050),2022-07-22,1.0574,-58.75%,83.17%,80%~,,-70.64%,2.5636 -> 0.7526,2021-02-19 -> 2022-03-15,,2021-02-19,2.5636,,2017-01-04,2022-07-22,无历史分红,
39,'000248,汇添富中证主要消费ETF联接A (000248),2022-07-25,2.9167,-25.69%,62.11%,60%~,,-41.36%,1.336 -> 0.7834,2015-06-12 -> 2016-01-28,,2021-02-10,3.9249,,2015-03-24,2022-07-25,无历史分红,
40,'160119,南方中证500ETF联接A (160119),2022-07-25,1.6837,-36.45%,59.47%,,,-61.29%,2.6558 -> 1.0251,2015-06-12 -> 2018-10-18,,2015-06-12,2.6558,,2009-09-25,2022-07-25,有历史分红,
41,'001717,工银前沿医疗股票A (001717),2022-07-25,3.519,-31.82%,83.91%,80%~,,-37.92%,5.161 -> 3.204,2021-07-01 -> 2022-04-25,,2021-07-01,5.161,,2016-02-03,2022-07-25,无历史分红,
42,'005774,华夏产业升级混合A (005774),2022-07-25,2.1633,-13.99%,32.42%,,,-43.15%,2.5152 -> 1.43,2021-11-30 -> 2022-04-26,,2021-11-30,2.5152,,2018-08-24,2022-07-25,无历史分红,
43,'007475,华夏创成长ETF联接C (007475),2022-07-25,2.196,-22.13%,53.65%,,,-41.25%,2.8201 -> 1.6567,2021-11-29 -> 2022-04-26,,2021-11-29,2.8201,,2019-06-26,2022-07-25,无历史分红,
44,'720001,财通价值动量混合 (720001),2022-07-25,5.082,-15.37%,28.48%,,,-53.96%,3.467 -> 1.31,2015-06-03 -> 2018-10-11,,2021-09-15,6.004,,2011-12-01,2022-07-25,有历史分红,
45,'005094,万家臻选混合 (005094),2022-07-25,2.6356,-13.48%,45.9%,,,-29.37%,1.0623 -> 0.7503,2018-04-02 -> 2018-10-18,,2022-01-04,3.0462,,2017-12-20,2022-07-25,无历史分红,
46,'001404,招商移动互联网产业股票基金A (001404),2022-07-25,1.436,-25.56%,52.66%,,,-48.54%,1.129 -> 0.581,2015-12-22 -> 2019-01-03,,2021-07-30,1.929,,2015-06-19,2022-07-25,无历史分红,
47,'013339,创金合信芯片产业股票发起A (013339),2022-07-25,0.8536,-27.57%,61.49%,60%~,,-44.84%,1.1785 -> 0.6501,2021-11-25 -> 2022-04-26,,2021-11-25,1.1785,,2021-09-28,2022-07-25,无历史分红,
48,'290011,泰信中小盘精选混合 (290011),2022-07-25,3.82,-27.89%,47.15%,,,-59.15%,3.263 -> 1.248,2015-06-12 -> 2019-01-03,,2021-07-29,5.298,,2011-10-26,2022-07-25,有历史分红,
49,'519674,银河创新成长混合A (519674),2022-07-25,5.7514,-38.33%,76.46%,70%~,,-50.13%,3.5772 -> 1.7838,2015-06-03 -> 2015-09-15,,2021-07-30,9.3262,,2010-12-29,2022-07-25,无历史分红,
50,'008281,国泰CES半导体芯片行业ETF联接A (008281),2022-07-25,1.4321,-36.72%,80.39%,80%~,,-45.68%,2.2632 -> 1.2294,2021-07-30 -> 2022-04-26,,2021-07-30,2.2632,,2019-11-22,2022-07-25,无历史分红,
51,'008121,万家自主创新混合C (008121),2022-07-25,1.0555,-40.69%,87.19%,80%~,,-46.67%,1.7797 -> 0.9491,2021-07-30 -> 2022-04-26,,2021-07-30,1.7797,,2020-02-10,2022-07-25,无历史分红,
52,'001366,金鹰产业整合混合 (001366),2022-07-25,1.6379,-21.59%,44.8%,,,-48.19%,1.023 -> 0.53,2015-12-22 -> 2019-01-03,,2021-12-14,2.089,,2015-06-16,2022-07-25,无历史分红,
53,'000547,建信健康民生混合A(000547),2022-07-25,6.273,-10.37%,25.77%,,,-40.24%,2.465 -> 1.473,2015-06-12 -> 2015-07-08,,2021-11-22,6.999,,2014-03-21,2022-07-25,无历史分红,
54,'002938,中银证券健康产业混合 (002938),2022-07-25,2.2504,-8.95%,42.48%,,,-21.07%,2.2929 -> 1.8099,2022-01-17 -> 2022-04-26,,2022-06-13,2.4716,,2022-01-04,2022-07-25,无历史分红,
55,'540002,汇丰晋信龙腾混合 (540002),2022-07-25,1.7836,-6.04%,29.09%,,,-20.76%,1.7887 -> 1.4176,2022-01-04 -> 2022-04-26,,2022-07-04,1.8979,,2022-01-04,2022-07-25,有历史分红,
56,'270006,广发策略优选混合 (270006),2022-07-25,3.5617,-3.89%,19.97%,,,-19.48%,3.4726 -> 2.7957,2022-03-02 -> 2022-04-26,,2022-07-07,3.7056,,2022-01-04,2022-07-25,有历史分红,
57,'160921,大成多策略混合(LOF)A (160921),2022-07-25,1.314,-1.34%,6.82%,,,-19.66%,1.277 -> 1.026,2022-01-06 -> 2022-04-26,,2022-07-20,1.332,,2022-01-04,2022-07-25,有历史分红,
58,'770001,德邦优化混合 (770001),2022-07-25,1.6173,-5.7%,27.22%,,,-20.94%,1.8016 -> 1.4233,2022-01-04 -> 2022-04-26,,2022-01-04,1.8016,,2022-01-04,2022-07-25,有历史分红,
